Rank,Uniform,Name,Nationality,Age,Bat,Throw,Height,Weight,Date of Birth,First Year
1,30,Brett Anderson,us US,30,L,L,6' 3",230,Feb 1 1988,2007
2,16,Liam Hendriks,au AU,29,R,R,6' 0",200,Feb 10 1989,2007
3,37,Edwin Jackson,de DE,34,R,R,6' 2",215,Sep 9 1983,2001
4,31,Shawn Kelley,us US,34,R,R,6' 2",237,Apr 26 1984,2007
5,63,Dean Kiekhefer,us US,29,L,L,6' 0",175,Jun 7 1989,2010
6,57,J.B. Wendelken,us US,25,R,R,6' 0",220,Mar 24 1993,2012
7,33,Daniel Mengden,us US,25,R,R,6' 2",190,Feb 19 1993,2014
8,47,Frankie Montas,do DO,25,R,R,6' 2",255,Mar 21 1993,2010
9,15,Emilio Pagan,us US,27,L,R,6' 3",210,May 7 1991,2013
10,36,Yusmeiro Petit,ve VE,33,R,R,6' 1",255,Nov 22 1984,2003
11,56,Fernando Rodney,do DO,41,R,R,5' 11",230,Mar 18 1977,1999
12,39,Blake Treinen,us US,30,R,R,6' 5",225,Jun 30 1988,2011
13,62,Lou Trivino,us US,26,R,R,6' 5",225,Oct 1 1991,2013
14,44,Chris Hatcher,us US,33,S,R,6' 1",200,Jan 12 1985,2006
15,61,Cory Gearrin,us US,32,R,R,6' 1",205,Apr 14 1986,2007
16,52,Ryan Buchter,us US,31,L,L,6' 4",258,Feb 13 1987,2006
17,35,Aaron Brooks,us US,28,R,R,6' 4",225,Apr 27 1990,2011
18,53,Trevor Cahill,us US,30,R,R,6' 4",240,Mar 1 1988,2006
19,66,Ryan Dull,us US,28,R,R,5' 9",175,Oct 2 1989,2012
20,32,Jeurys Familia,do DO,28,R,R,6' 3",240,Oct 10 1989,2008
21,40,Chris Bassitt,us US,29,R,R,6' 5",220,Feb 22 1989,2011
22,50,Mike Fiers,us US,33,R,R,6' 2",202,Jun 15 1985,2009
23,46,Beau Taylor,us US,28,L,R,6' 0",205,Feb 13 1990,2011
24,25,Stephen Piscotty,us US,27,R,R,6' 3",210,Jan 14 1991,2012
25,18,Chad Pinder,us US,26,R,R,6' 2",195,Mar 29 1992,2013
26,19,Josh Phegley,us US,30,R,R,5' 10",230,Feb 12 1988,2009
27,1,Franklin Barreto,ve VE,22,R,R,5' 10",190,Feb 27 1996,2013
28,10,Marcus Semien,us US,27,R,R,6' 0",195,Sep 17 1990,2011
29,28,Matt Olson,us US,24,L,R,6' 5",230,Mar 29 1994,2012
30,20,Mark Canha,us US,29,R,R,6' 2",210,Feb 15 1989,2010
31,11,Dustin Fowler,us US,23,L,L,6' 0",195,Dec 29 1994,2013
32,23,Matthew Joyce,us US,33,L,R,6' 2",205,Aug 3 1984,2005
33,2,Khris Davis,us US,30,R,R,5' 10",195,Dec 21 1987,2009
34,8,Jed Lowrie,us US,34,S,R,6' 0",180,Apr 17 1984,2005
35,21,Jonathan Lucroy,us US,32,R,R,6' 0",200,Jun 13 1986,2007
36,38,Nick Martini,us US,28,L,L,5' 11",205,Jun 27 1990,2011
37,26,Matt Chapman,us US,25,R,R,6' 0",210,Apr 28 1993,2014
38,22,Ramon Laureano,do DO,23,R,R,5' 11",185,Jul 15 1994,2014
39,55,Sean Manaea,us US,26,R,L,6' 5",245,Feb 1 1992,2014
40,0,Jorge Mateo,do DO,23,R,R,6' 0",190,Jun 23 1995,2012
